package name,version,repo URL,last published
@atlaskit/editor-plugin-tasks-and-decisions,13.2.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:40.344Z
@atlaskit/editor-plugin-list,12.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:40.021Z
@atlaskit/status,4.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:39.734Z
@atlaskit/editor-plugin-find-replace,10.2.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:39.419Z
@atlaskit/task-decision,20.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:39.150Z
@atlaskit/editor-plugin-toolbar,7.3.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:39.047Z
@atlaskit/editor-plugin-paste-options-toolbar,11.2.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:38.740Z
@atlaskit/insm,0.4.34,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:38.721Z
@atlaskit/editor-plugin-selection-extension,13.3.4,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:38.676Z
@atlaskit/node-data-provider,11.1.2,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:38.666Z
@atlaskit/editor-extension-dropbox,8.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:38.613Z
@atlaskit/prosemirror-input-rules,3.7.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:38.332Z
@atlaskit/editor-presets,3.2.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:38.198Z
@atlaskit/editor-plugin-grid,10.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:38.102Z
@atlaskit/editor-toolbar-model,0.5.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:37.898Z
@atlaskit/prosemirror-collab,0.22.75,https://bitbucket.org/atlassian/atlassian-frontend,2026-05-21T00:20:37.740Z
@atlaskit/editor-plugin-show-diff,8.4.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:37.533Z
@atlaskit/editor-shared-styles,3.11.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:37.470Z
@atlaskit/editor-plugin-text-color,10.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:36.638Z
@atlaskit/editor-ssr-renderer,5.2.3,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:36.546Z
@atlaskit/editor-plugin-text-formatting,10.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:36.535Z
@atlaskit/editor-plugin-undo-redo,10.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:35.651Z
@atlaskit/editor-plugin-card,16.9.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:35.620Z
@atlaskit/editor-plugin-limited-mode,7.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:35.504Z
@atlaskit/editor-plugin-decorations,10.1.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:35.449Z
@atlaskit/editor-plugin-status,11.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:35.393Z
@atlaskit/editor-plugin-extension,13.5.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:34.708Z
@atlaskit/editor-plugin-metrics,11.1.2,https://bitbucket.org/atlassian/atlassian-frontend,2026-05-21T00:20:34.579Z
@atlaskit/editor-plugin-expand,11.2.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:34.471Z
@atlaskit/editor-plugin-emoji,11.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:33.766Z
@atlaskit/editor-plugin-alignment,11.1.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:33.462Z
@atlaskit/editor-plugin-editor-viewmode-effects,10.1.2,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:33.376Z
@atlaskit/editor-plugin-code-block-advanced,10.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:32.698Z
@atlaskit/editor-plugin-date,12.2.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:32.151Z
@atlaskit/editor-plugin-collab-edit,11.2.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:31.514Z
@atlaskit/editor-plugin-copy-button,10.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:30.525Z
@atlaskit/editor-plugin-base,11.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:29.923Z
@atlaskit/editor-plugin-code-bidi-warning,10.1.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:29.833Z
@atlaskit/editor-plugin-annotation,10.4.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:29.744Z
@atlaskit/editor-plugin-caption,10.1.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:29.315Z
@atlaskit/editor-plugin-analytics,10.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:28.645Z
@atlaskit/editor-plugin-accessibility-utils,10.2.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-21T00:20:27.182Z
@atlaskit/editor-card-provider,6.8.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:27.177Z
@atlaskit/section-message,8.13.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-21T00:20:23.082Z
@atlaskit/spotlight,0.14.10,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T22:54:37.175Z
@atlaskit/top-layer,0.8.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T22:54:31.428Z
@atlaskit/datetime-picker,17.8.5,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T22:54:30.013Z
@atlaskit/avatar-group,12.10.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T22:54:27.975Z
@atlaskit/popup,4.20.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T22:54:25.519Z
@atlaskit/inline-dialog,18.1.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T22:54:22.413Z
@atlaskit/rovo-triggers,6.3.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T20:52:21.764Z
@atlaskit/smart-user-picker,10.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T17:00:39.829Z
@atlaskit/jql-ast,3.5.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T17:00:34.455Z
@atlassian/adg-server-iconfont,4.0.0-m05,https://bitbucket.org/atlassian/aui,2026-05-20T14:47:03.975Z
@atlaskit/smart-hooks,1.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T10:59:16.273Z
@atlaskit/dependency-version-analytics,1.7.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T10:59:13.641Z
@atlaskit/util-data-test,18.6.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T10:59:12.257Z
@atlaskit/link-analytics,11.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T10:59:12.081Z
@atlaskit/codemod-utils,4.3.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T10:59:12.070Z
@atlaskit/embedded-confluence,5.1.0,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T10:59:06.692Z
@atlaskit/analytics-cross-product,1.1.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T10:59:04.380Z
@atlaskit/frontend-utilities,3.3.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:58.639Z
@atlaskit/browser-apis,0.0.2,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T09:00:57.516Z
@atlaskit/anonymous-assets,1.1.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T09:00:57.514Z
@atlaskit/pubsub,7.0.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:52.853Z
@atlaskit/mention,26.0.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:48.153Z
@atlaskit/date,2.1.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:37.844Z
@atlaskit/pragmatic-drag-and-drop-react-beautiful-dnd-migration,2.1.1,https://github.com/atlassian/pragmatic-drag-and-drop,2026-05-20T09:00:37.380Z
@atlaskit/pragmatic-drag-and-drop-react-drop-indicator,3.2.16,https://github.com/atlassian/pragmatic-drag-and-drop,2026-05-20T09:00:36.661Z
@atlaskit/pragmatic-drag-and-drop-react-accessibility,2.2.11,https://github.com/atlassian/pragmatic-drag-and-drop,2026-05-20T09:00:35.762Z
@atlaskit/platform-feature-flags-react,0.5.1,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T09:00:35.623Z
@atlaskit/people-teams-ui-public,4.1.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T09:00:34.491Z
@atlaskit/user-picker,12.1.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:33.515Z
@atlaskit/media-document-viewer,0.7.2,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T09:00:32.539Z
@atlaskit/intl-messages-provider,3.3.1,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:31.146Z
@atlaskit/motion,6.2.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:26.886Z
@atlaskit/app-provider,4.3.3,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-20T09:00:21.742Z
@atlaskit/rovo-agent-components,4.6.0,https://bitbucket.org/atlassian/atlassian-frontend-monorepo,2026-05-20T01:57:11.453Z
@atlaskit/help-article,6.1.2,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T17:01:18.770Z
@atlaskit/editor-synced-block-renderer,8.3.4,https://bitbucket.org/atlassian/atlassian-frontend-mirror,2026-05-19T17:01:16.132Z
